Recorder,Box,Tube size,Tube,Week of first fill,Week #,Fill type,Notes on any changes in fill,Anomalies - when a change might just be a mistake
Julia L,A3L,lg,1-mag,,,E,"8/30,9/13,9/20 cricket",
Julia L,A3L,lg,2-yel,6/21/24,4,LM,"ants 5/31, wasp 6/7",
Julia L,A3L,lg,3-teal,6/7/24,2,LM,,
Julia L,A3L,lg,4-red,8/2/24,8,LM,"7/19 wasp face, 7/26 dp",
Julia L,A3L,lg,5-green,8/2/24,8,LM,"E on 8/16 ish, back to LM after",
Julia L,A3L,lg,6-red_stripe,7/12/24,5,LM,,
Julia L,A3L,lg,7-blue,8/16/24,10,E,or else E all through ,field notes all E except one LM
Julia L,A3L,lg,8-lav,8/2/24,8,LM-dp,,
Julia L,A3L,lg,9-blue_stripe,,,E,,
Julia L,A3L,lg,10-red_yell,,,E,"8/30, 9/13 cricket",
Julia L,A3L,sm,1-mag,7/26/24,7,LM,had ants in beginning but still E,
Julia L,A3L,sm,2-yel,8/30/24,12,LM,LM-dp then cricket then empty,
Julia L,A3L,sm,3-teal,,,E,,
Julia L,A3L,sm,4-red,7/19/24,6,LM,,
Julia L,A3L,sm,5-green,8/10/24,9,LM,then cricket then E,
Julia L,A3L,sm,6-red_stripe,7/26/24,7,DM,debris mixed in,
Julia L,A3L,sm,7-blue,,,E,"8/24,9/13 cricket",
Julia L,A3L,sm,8-lav,7/26/24,7,LM,,
Julia L,A3L,sm,9-blue_stripe,,,E,9/13 cricket,
Julia L,A3L,sm,10-red_yell,,,E,"8/16,9/20 cricket",
Julia L,BBB,lg,1-mag,,,E,"silk? 9/13, 9/20, 8/24",
Julia L,BBB,lg,2-yel,7/26/24,7,LM,,
Julia L,BBB,lg,3-teal,7/19/24,6,LM-dp ,,
Julia L,BBB,lg,4-red,8/10/24,9,LM-dp,,
Julia L,BBB,lg,5-green,7/19/24,6,LM,LM-smhole 11/24?,
Julia L,BBB,lg,6-red_stripe,7/26,7,LM,LM-smhole 8/10-end ,
Julia L,BBB,lg,7-blue,7/19,6,LM-dp,LM-dp-lghole 7/26,
Julia L,BBB,lg,8-lav,7/12,5,LM-dp,,
Julia L,BBB,lg,9-blue_stripe,8/16,10,GR,debris-7/12,
Julia L,BBB,lg,10-red_yell,8/2,8,LM-dp,,
Julia L,BBB,sm,1-mag,9/13,14,GR,,
Julia L,BBB,sm,2-yel,9/13,14,GR,,
Julia L,BBB,sm,3-teal,9/13,14,GR,,
Julia L,BBB,sm,4-red,8/16,10,LM,8/24 GR- till end ,
Julia L,BBB,sm,5-green,9/6-9/20,,GR,,
Julia L,BBB,sm,6-red_stripe,8/16,10,GR,,
Julia L,BBB,sm,7-blue,,,E,,
Julia L,BBB,sm,8-lav,9/13-9/20,,GR,,
Julia L,BBB,sm,9-blue_stripe,,,E,,
Julia L,BBB,sm,10-red_yell,8/24,,GR,,
Sophia,BBG,lg,1-mag,,,E,,
Sophia,BBG,lg,2-yel,8/10,9,LM,,
Sophia,BBG,lg,3-teal,8/10,9,LM,,
Sophia,BBG,lg,4-red,8/30,12,LM,,
Sophia,BBG,lg,5-green,9/13,14,GR,,
Sophia,BBG,lg,6-red_stripe,8/2,8,DM-dp,,
Sophia,BBG,lg,7-blue,9/6,13,GR,,
Sophia,BBG,lg,8-lav,8/2,8,LM,,
Sophia,BBG,lg,9-blue_stripe,8/16,10,LM,,
Sophia,BBG,lg,10-red_yell,8/24,11,DM,,
Sophia,BBG,sm,1-mag,,,E,9/13 silk,
Sophia,BBG,sm,2-yel,6/21,4,LM,,
Sophia,BBG,sm,3-teal,6/21,4,LM,,
Sophia,BBG,sm,4-red,8/2,8,DM,,
Sophia,BBG,sm,5-green,7/12,5,LM,,
Sophia,BBG,sm,6-red_stripe,8/2,8,DM,,
Sophia,BBG,sm,7-blue,,,E,,
Sophia,BBG,sm,8-lav,,,E,,
Sophia,BBG,sm,9-blue_stripe,8/10,9,DM,,
Sophia,BBG,sm,10-red_yell,7/26,7,DM,,
Sophia,BBJ,lg,1-mag,8/2,8,GR,,
Sophia,BBJ,lg,2-yel,,,E,8/30 debris,
Sophia,BBJ,lg,3-teal,,,E,,
Sophia,BBJ,lg,4-red,,,E,,
Sophia,BBJ,lg,5-green,8/2,8,GR-dp,,
Sophia,BBJ,lg,6-red_stripe,8/2,8,GR-dp,,
Sophia,BBJ,lg,7-blue,,,E,,
Sophia,BBJ,lg,8-lav,,,E,,
Sophia,BBJ,lg,9-blue_stripe,,,E,,
Sophia,BBJ,lg,10-red_yell,8/2,8,GR,,
Sophia,BBJ,sm,1-mag,8/2,8,DM,,
Sophia,BBJ,sm,2-yel,,,E,,
Sophia,BBJ,sm,3-teal,8/24,11,DM,,
Sophia,BBJ,sm,4-red,,,E,,
Sophia,BBJ,sm,5-green,,,E,,
Sophia,BBJ,sm,6-red_stripe,,,E,,
Sophia,BBJ,sm,7-blue,8/10,9,DM,,
Sophia,BBJ,sm,8-lav,,,E,,
Sophia,BBJ,sm,9-blue_stripe,,,E,,
Sophia,BBJ,sm,10-red_yell,,,E,,
Sophia,E1L,lg,1-mag,,,E,,
Sophia,E1L,lg,2-yel,,,E,,
Sophia,E1L,lg,3-teal,,,E,,
Sophia,E1L,lg,4-red,7/12,5,silk,intermittent,
Sophia,E1L,lg,5-green,7/12,5,debris,,
Sophia,E1L,lg,6-red_stripe,,,E,,
Sophia,E1L,lg,7-blue,8/10,9,GR,,
Sophia,E1L,lg,8-lav,7/19,6,LM,,
Sophia,E1L,lg,9-blue_stripe,7/26,7,GR,,
Sophia,E1L,lg,10-red_yell,7/26,7,GR-dp,,
Sophia,E1L,sm,1-mag,7/19,6,GR,,
Sophia,E1L,sm,2-yel,7/19,6,GR,,
Sophia,E1L,sm,3-teal,,,E,,
Sophia,E1L,sm,4-red,11/24,22,GR-dp,8/30 silk,
Sophia,E1L,sm,5-green,7/12,5,GR,,
Sophia,E1L,sm,6-red_stripe,11/24,22,silk,ants,
