Location,Inhabitant,Proportion_of_Fill,,
Arboretum,Ancistrocerus capra,0,,
Arboretum,Ancistrocerus spinolae,0,,
Arboretum,Chrysis cessata,0,,
Arboretum,Coelioxys alternatus,0,,
Arboretum,Euodynerus foraminatus,0,,  
Arboretum,Isodontia mexicana,0,,
Arboretum,Megachile pugnata,0,,
Arboretum,Megachile relativa,0,,
Arboretum,Megachile rotundata,0,,
Arboretum,Osmia caerulescens,0.02352941176,,
Arboretum,Trypoxylon lactitarse,0,,
Beebarn,Ancistrocerus capra,0.02352941176,,
Beebarn,Ancistrocerus spinolae,0.04705882353,,
Beebarn,Chrysis cessata,0.03529411765,,
Beebarn,Coelioxys alternatus,0.04705882353,,
Beebarn,Euodynerus foraminatus,0.03529411765,,
Beebarn,Isodontia mexicana,0.05882352941,,
Beebarn,Megachile pugnata,0.1647058824,,
Beebarn,Megachile relativa,0,,
Beebarn,Megachile rotundata,0,,
Beebarn,Osmia caerulescens,0.01176470588,,
Beebarn,Trypoxylon lactitarse,0.04705882353,,
Meadow,Ancistrocerus capra,0,,
Meadow,Ancistrocerus spinolae,0,,
Meadow,Chrysis cessata,0,,
Meadow,Coelioxys alternatus,0,,
Meadow,Euodynerus foraminatus,0,,
Meadow,Isodontia mexicana,0.04705882353,,
Meadow,Megachile pugnata,0.01176470588,,
Meadow,Megachile relativa,0,,
Meadow,Megachile rotundata,0,,
Meadow,Osmia caerulescens,0.03529411765,,
Meadow,Trypoxylon lactitarse,0,,
NoMowZone,Ancistrocerus capra,0,,
NoMowZone,Ancistrocerus spinolae,0,,
NoMowZone,Chrysis cessata,0,,
NoMowZone,Coelioxys alternatus,0,,
NoMowZone,Euodynerus foraminatus,0,,
NoMowZone,Isodontia mexicana,0.04705882353,,
NoMowZone,Megachile pugnata,0.1882352941,,
NoMowZone,Megachile relativa,0.04705882353,,
NoMowZone,Megachile rotundata,0.01176470588,,
NoMowZone,Osmia caerulescens,0,,
NoMowZone,Trypoxylon lactitarse,0,,
EGarden,Ancistrocerus capra,0.01176470588,,
EGarden,Ancistrocerus spinolae,0,,
EGarden,Chrysis cessata,0.03529411765,,
EGarden,Coelioxys alternatus,0,,
EGarden,Euodynerus foraminatus,0,,
EGarden,Isodontia mexicana,0,,
EGarden,Megachile pugnata,0,,
EGarden,Megachile relativa,0,,
EGarden,Megachile rotundata,0,,
EGarden,Osmia caerulescens,0.01176470588,,
EGarden,Trypoxylon lactitarse,0,,
